     gd_foil_back_01  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 1  |                          88.7625*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_02  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 2  |                           90.025*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_03  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 3  |                          91.2875*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_04  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 4  |                            92.55*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_05  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 5  |                          93.8125*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_06  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 6  |                           95.075*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_07  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 7  |                          96.3375*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_08  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 8  |                             97.6*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_09  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 9  |                          98.8625*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_10  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 10  |                          100.125*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     gd_foil_back_11  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 11  |                         101.3875*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
             back_00  |     gd_foil_back_00  | BDX-DRIFT Neutron Veto back 0  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 0 
             back_01  |     gd_foil_back_01  | BDX-DRIFT Neutron Veto back 1  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 1 
             back_02  |     gd_foil_back_02  | BDX-DRIFT Neutron Veto back 2  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 2 
             back_03  |     gd_foil_back_03  | BDX-DRIFT Neutron Veto back 3  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 3 
             back_04  |     gd_foil_back_04  | BDX-DRIFT Neutron Veto back 4  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 4 
             back_05  |     gd_foil_back_05  | BDX-DRIFT Neutron Veto back 5  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 5 
             back_06  |     gd_foil_back_06  | BDX-DRIFT Neutron Veto back 6  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 6 
             back_07  |     gd_foil_back_07  | BDX-DRIFT Neutron Veto back 7  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 7 
             back_08  |     gd_foil_back_08  | BDX-DRIFT Neutron Veto back 8  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 8 
             back_09  |     gd_foil_back_09  | BDX-DRIFT Neutron Veto back 9  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 2 paddle manual 9 
             back_10  |     gd_foil_back_10  |BDX-DRIFT Neutron Veto back 10  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |          face manual 2 paddle manual 10 
             back_11  |     gd_foil_back_11  |BDX-DRIFT Neutron Veto back 11  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |          face manual 2 paddle manual 11 
